5.6370, -1800, 12000, 0.1
5.2428, -1700, 11500, 0.1
4.9174, -1690, 11200, 0.1
4.6247, -1600, 10800, 0.1
4.3212, -1500, 10500, 0.1
4.1364, -1200, 9800, 0.1
3.7252, -900, 9500, 0.1
3.4393, -600, 9200, 0.1
3.1842, -450, 9000, 0.1
2.9547, -300, 8800, 0.1
2.7969, -200, 8600, 0.1
2.5567, -100, 8400, 0.1
2.4677, -100, 8300, 0.1
2.1962, 0, 8000, 0.1
1.1924, 0, 7750, 0.1
1.0, 0, 7750, 0.1
